Maintainer username,Maintainer name,Total dependencies maintained,Goal progress,Goal description,Total sponsors,Total organization sponsors,Sponsorship amount in USD
antelle,Dimitri Witkowski,1,14,50 monthly sponsors,7,3,
watilde,Daijiro Wachi,1,,,3,2,
milesj,Miles Johnson,1,0,5 monthly sponsors,0,0,
SAML-Toolkits,,1,60,5 monthly sponsors,3,2,
paulocheque,Paulo Cheque,1,,,0,0,
slevithan,Steven Levithan,1,20,10 monthly sponsors,2,2,
satya164,Satyajit Sahoo,1,2,100 monthly sponsors,2,1,
OnkarRuikar,Onkar Khadangale,1,0,10 monthly sponsors,0,0,
gettalong,Thomas Leitner,1,15,20 monthly sponsors,3,2,
clauderic,Claudéric Demers,1,,,10,6,
IanVS,Ian VanSchooten,1,60,5 monthly sponsors,3,0,
trbs,,1,1,10000 monthly sponsors,2,1,
SukkaW,Sukka,1,1,"$4,000 per month",6,0,
aduh95,Antoine du Hamel,1,1,"$1,800 per month",7,4,
fu5ha,Gray Olson,1,,,4,0,
webdiscus,,1,0,"$6,000 per month",1,1,
Ousret,TAHRI Ahmed R.,1,,,2,2,
pyupio,Safety Cybersecurity (formerly pyup.io),1,,,0,0,
lincolnloop,Lincoln Loop,1,0,1 monthly sponsor,0,0,
weppos,Simone Carletti,1,,,3,1,
enricomarino,Enrico Marino,1,,,0,0,
pocka,Shota FUJI,1,,,2,2,
lxsmnsyc,Alexis H. Munsayac,1,10,10 monthly sponsors,1,0,
segiddins,Samuel Giddins,1,0,$15 per month,1,1,
liady,Liad Yosef,1,,,1,1,
adelsz,Adel Salakh,1,,,1,0,
eligrey,Eli Grey,1,0,"$1,000 per month",0,0,
miyagawa,Tatsuhiko Miyagawa,1,40,10 monthly sponsors,4,1,
JonathanHuot,Jonathan Huot,1,,,0,0,
Olical,Oliver Caldwell,1,8,"$3,000 per month",41,1,
goatandsheep,Kemal Ahmed,1,0,$50 per month,1,1,
davidchambers,David Chambers,1,,,5,1,
mikeal,Mikeal Rogers,1,,,3,3,
posva,Eduardo San Martin Morote,1,,,61,11,
joakimbeng,Joakim Carlstein,1,20,10 monthly sponsors,2,2,
shirshak55,Shirshak,1,,,1,1,
kigster,Konstantin Gredeskoul,1,0,$500 per month,0,0,
ArnaudBarre,Arnaud Barré,1,25,"$1,000 per month",4,3,
postmodern,Postmodern,1,,,15,5,
ioquatix,Samuel Williams,1,64,50 monthly sponsors,32,12,
stefanbuck,Stefan Buck,1,,,1,0,
klaudiosinani,Klaudio Sinani,1,,,2,1,
scoder,,1,2,1024 monthly sponsors,25,5,
ctavan,Christoph Tavan,1,0,5 monthly sponsors,0,0,
stuartcarnie,Stuart Carnie,1,,,0,0,
jfmengels,Jeroen Engels,1,,,21,3,
xan105,Anthony Beaumont,1,0,10 monthly sponsors,0,0,
sidorares,Andrey Sidorov,1,,,7,4,
emilbayes,Emil Bay,1,10,10 monthly sponsors,1,1,
lostpebble,Paul Myburgh,1,,,1,0,
code-hike,Code Hike,1,,,14,4,
adamchainz,Adam Johnson,1,1,9001 monthly sponsors,3,3,
MatthieuDartiailh,Matthieu Dartiailh,1,,,7,3,
johno,John Otander,1,12,16 monthly sponsors,2,2,
marcelklehr,Marcel Klehr,1,,,31,3,
rsms,Rasmus,1,,,41,11,
samuelmaddock,Sam Maddock,1,,,7,5,
skorokithakis,Stavros Korokithakis,1,0,10 monthly sponsors,0,0,
justinmayer,Justin Mayer,1,40,10 monthly sponsors,4,0,
nedbat,Ned Batchelder,1,,,22,7,
mikaelkristiansson,Mikael Kristiansson,1,,,2,2,
stackql,StackQL Studios,1,,,1,0,
envygeeks,Jordon Bedwell,1,1,$380 per month,2,0,
Salamek,Adam Schubert,1,0,$130 per month,0,0,
pydanny,Daniel Roy Greenfeld,1,10,10 monthly sponsors,2,0,
django-crispy-forms,,1,,,1,1,
florimondmanca,Florimond Manca,1,,,1,0,
python,Python,1,,,210,25,
selwin,Selwin Ong,1,,,0,0,
python-websockets,,1,,,1,1,
